Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:20000 Ave:22.5285 P50:22.8818 P90:48.1718 P99:106.9406 P999:185.8774 P9999:272.1505
startTime,latency
1,7.22845
1.0014,22.9199
1.00678,7.23218
1.00918,7.41031
1.0134,7.36263
1.01904,7.21443
1.02306,7.28363
1.04768,7.34295
1.05083,22.9006
1.05585,22.8807
1.05959,7.23655
1.07041,7.28922
1.07382,7.29065
1.08416,23.1294
1.08836,39.4555
1.08877,7.24785
1.08922,11.8628
1.08989,7.40947
1.09572,22.9623
1.09603,7.26344
1.09619,7.24907
1.09819,22.9176
1.1025,23.1642
1.10343,23.0824
1.10745,31.876
1.11665,31.7787
1.1236,7.27707
1.14596,7.23297
1.14787,23.0991
1.15118,22.9449
1.15531,43.5907
1.17284,7.2266
1.17375,45.7936
1.17716,63.1041
1.18038,7.20954
1.18654,7.32804
1.19696,7.21848
1.19867,22.9223
1.19896,7.2397
1.21254,48.3605
1.21287,22.9561
1.21333,23.041
1.21458,22.9126
1.21871,23.1226
1.22215,7.27378
1.23594,7.39507
1.24416,37.4297
1.25122,7.33356
1.25143,7.3937
1.25672,22.899
1.26099,39.3811
1.26599,7.32929
1.26662,7.24745
1.26938,7.27529
1.27386,47.2274
1.2755,66.4904
1.27705,22.9844
1.27812,7.24184
1.27865,22.9199
1.28049,41.8053
1.28328,141.223
1.28597,7.29476
1.28845,73.9519
1.28985,7.2602
1.29101,23.0129
1.2917,23.119
1.30043,82.8333
1.31303,29.9907
1.31562,7.23559
1.31685,87.0235
1.31974,7.23998
1.32265,7.2312
1.34069,22.9242
1.34529,7.35649
1.34783,7.26615
1.35324,7.24828
1.35535,7.36031
1.35645,22.9137
1.35659,7.21218
1.35737,11.4785
1.35751,7.30093
1.3594,14.4705
1.35977,24.4941
1.37796,7.32015
1.37846,26.7421
1.3883,56.8713
1.38869,77.1113
1.38954,7.21027
1.39475,7.249
1.4005,7.31519
1.40127,23.1402
1.40464,7.2352
1.40598,7.31741
1.41691,7.3331
1.4174,69.1767
1.41843,10.7368
1.43071,7.23323
1.43475,7.28922
1.45186,55.4448
1.45362,7.23057
1.45553,72.6286
1.45985,7.23416
1.45991,88.7066
1.45994,7.30216
1.46242,23.0036
1.46872,37.2978
1.47315,158.279
1.47761,91.7307
1.48577,7.2218
1.48793,22.9183
1.48907,23.1018
1.49047,7.33598
1.49068,99.3154
1.49507,7.29128
1.50676,25.9217
1.51147,161.277
1.51728,7.30368
1.52028,7.21914
1.52307,23.0328
1.52651,7.2229
1.53326,7.37238
1.53429,117.709
1.54655,22.9981
1.55321,23.0407
1.56029,7.37487
1.56068,7.30285
1.56535,22.8819
1.57654,137.476
1.59339,22.9031
1.597,7.20656
1.59926,94.1344
1.60425,7.21799
1.61352,23.1988
1.62693,22.9714
1.63143,39.1286
1.6335,7.27003
1.64943,41.8021
1.65273,7.31823
1.66343,7.31437
1.66485,23.0082
1.66922,39.2382
1.67837,7.20919
1.67943,7.28621
1.67951,7.24858
1.68248,7.22175
1.68932,23.3362
1.69139,7.27735
1.69321,7.2127
1.6977,7.26064
1.7039,7.27766
1.7064,23.0115
1.70936,7.22667
1.72034,23.159
